# Light Pollution Monitoring Data Format 1.0,,,,,,,,,,
# URL: http://www.darksky.org/measurements,,,,,,,,,,
# Number of header lines: 42,,,,,,,,,,
# ,his data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/,,,,,,,,,
# Device type: SQM-LU-DL-R1,,,,,,,,,,
# Instrument ID: ,,,,,,,,,,
# Data supplier: ,,,,,,,,,,
# Location name: ObservatoriNegaraLangkawi,,,,,,,,,,
# Position (lat,,,,,,,,,,
# Local timezone: Asia/Kuala_Lumpur,,,,,,,,,,
# ,ime Synchronization: ,,,,,,,,,
# Moving / Stationary position: S,A,IONARY,,,,,,,,
# Moving / Fixed look direction: FIXED,,,,,,,,,,
# Number of channels: 1,,,,,,,,,,
# Filters per channel: ,,,,,,,,,,
# Measurement direction per channel: ,,,,,,,,,,
# Field of view (degrees): 10,,,,,,,,,,
# Number of fields per line: 6,,,,,,,,,,
# SQM serial number: 6257,,,,,,,,,,
# SQM hardware identity: AB0N5UX4,,,,,,,,,,
# SQM firmware version: 4-6-80,,,,,,,,,,
# SQM cover offset value: ,,,,,,,,,,
# SQM readout test ix (Information): i,,,,,,,,,,
# SQM readout test rx (Reading): r,,,,,,,,,,
# SQM readout test cx (Calibration): c,,,,,,,,,,
# SQM readout test Ix (Report Interval): 0000000000s,,,,,,,,,,
# DL time difference (seconds): -784886259,,,,,,,,,,
# DL retrieved at (U,C): 2024-12-07,24:00.6,,,,,,,,
# DL trigger seconds : 0,,,,,,,,,,
# DL trigger minutes : 255,,,,,,,,,,
# DL trigger threshold : 0,,,,,,,,,,
# Comment: 10 degrees,,,,,,,,,,
# Comment: day 4,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# Comment: ,,,,,,,,,,
# UDM version: 1.0.0.353,,,,,,,,,,
# UDM setting: Logged continuously every 10 seconds,,,,,,,,,,
# blank line,,,,,,,,,,
# U,C Date & ,ime,,,,,,,,
# YYYY-MM-DD,HH:mm:ss.fff,YYYY-MM-DD,HH:mm:ss.fff,Celsius,number,Hz,mag/arcsec^2,,,
# END OF HEADER,,,,,,,,,,
07/12/2024,35:50.1,08/12/2024,4:35:50 AM,23.8,511233,1,20.06,,,
07/12/2024,36:00.1,08/12/2024,4:36:00 AM,23.5,509626,1,20.05,,,
07/12/2024,36:10.1,08/12/2024,4:36:10 AM,23.8,511295,1,20.06,,,
07/12/2024,36:20.1,08/12/2024,4:36:20 AM,23.8,511759,0,20.06,,,
07/12/2024,36:30.1,08/12/2024,4:36:30 AM,23.8,511851,0,20.06,,,
07/12/2024,36:40.1,08/12/2024,4:36:40 AM,23.8,511262,0,20.06,,,
07/12/2024,36:50.1,08/12/2024,4:36:50 AM,23.5,510749,0,20.06,,,
07/12/2024,37:00.1,08/12/2024,4:37:00 AM,23.8,510102,0,20.06,,,
07/12/2024,37:10.1,08/12/2024,4:37:10 AM,23.8,509868,1,20.05,,,
07/12/2024,37:20.1,08/12/2024,4:37:20 AM,23.8,510284,1,20.06,,,
07/12/2024,37:30.1,08/12/2024,4:37:30 AM,23.8,510883,1,20.06,,,
07/12/2024,37:40.1,08/12/2024,4:37:40 AM,23.8,510783,1,20.06,,,
07/12/2024,37:50.1,08/12/2024,4:37:50 AM,23.8,511534,1,20.06,,,
07/12/2024,38:00.1,08/12/2024,4:38:00 AM,23.8,510919,1,20.06,,,
07/12/2024,38:10.1,08/12/2024,4:38:10 AM,23.8,512055,1,20.06,,,
07/12/2024,38:20.1,08/12/2024,4:38:20 AM,23.8,510978,1,20.06,,,
07/12/2024,38:30.1,08/12/2024,4:38:30 AM,23.8,511474,1,20.06,,,
07/12/2024,38:40.1,08/12/2024,4:38:40 AM,23.8,512202,1,20.06,,,
07/12/2024,38:50.1,08/12/2024,4:38:50 AM,23.8,510931,1,20.06,,,
07/12/2024,39:00.1,08/12/2024,4:39:00 AM,23.8,510891,1,20.06,,,
07/12/2024,39:10.1,08/12/2024,4:39:10 AM,23.8,510788,1,20.06,,,
07/12/2024,39:20.1,08/12/2024,4:39:20 AM,23.8,510130,1,20.06,,,
07/12/2024,39:30.1,08/12/2024,4:39:30 AM,23.8,509879,1,20.05,,,
07/12/2024,39:40.1,08/12/2024,4:39:40 AM,23.8,509913,1,20.05,,,
07/12/2024,39:50.1,08/12/2024,4:39:50 AM,23.5,510875,1,20.06,,,
07/12/2024,40:00.1,08/12/2024,4:40:00 AM,23.8,510854,1,20.06,,,
07/12/2024,40:10.1,08/12/2024,4:40:10 AM,23.8,511389,1,20.06,,,
07/12/2024,40:20.1,08/12/2024,4:40:20 AM,23.8,510672,1,20.06,,,
07/12/2024,40:30.1,08/12/2024,4:40:30 AM,23.8,509678,1,20.05,,,
07/12/2024,40:40.1,08/12/2024,4:40:40 AM,23.8,509247,1,20.05,,,
07/12/2024,40:50.1,08/12/2024,4:40:50 AM,23.8,510060,1,20.06,,,
07/12/2024,41:00.1,08/12/2024,4:41:00 AM,23.8,510156,1,20.06,,,
07/12/2024,41:10.1,08/12/2024,4:41:10 AM,23.8,509603,1,20.05,,,
07/12/2024,41:20.1,08/12/2024,4:41:20 AM,23.8,511058,1,20.06,,,
07/12/2024,41:30.1,08/12/2024,4:41:30 AM,23.8,511366,1,20.06,,,
07/12/2024,41:40.1,08/12/2024,4:41:40 AM,23.8,511837,1,20.06,,,
